epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.363,1.36684,0.93171,1.02595,0.59057,0.33534,0.34861,0.18201,1.34384,0.87815,1.01557,0.0670075,0.000333257,0.000333257
2,1615.24,1.34108,0.87032,1.01623,0.62447,0.38845,0.41251,0.22311,1.28813,0.76541,0.99006,0.0339745,0.000633594,0.000633594
3,2406.7,1.30746,0.82739,1.00301,0.63559,0.42025,0.44887,0.24566,1.25131,0.72655,0.97716,0.00090855,0.000900931,0.000900931
4,3194.86,1.27767,0.79188,0.99185,0.6745,0.43459,0.47169,0.26276,1.2308,0.69796,0.96744,0.0008515,0.0008515,0.0008515
5,3982.55,1.25478,0.7635,0.98265,0.6872,0.44474,0.48674,0.27333,1.21772,0.67639,0.9612,0.000802,0.000802,0.000802
6,4770.52,1.23862,0.74402,0.97684,0.70655,0.45128,0.49985,0.28197,1.20746,0.6654,0.95763,0.0007525,0.0007525,0.0007525
7,5557.84,1.22399,0.72702,0.97139,0.71604,0.46152,0.51314,0.29151,1.19994,0.65373,0.95342,0.000703,0.000703,0.000703
8,6344.98,1.21538,0.716,0.96704,0.71477,0.46842,0.51998,0.29653,1.19349,0.64552,0.95063,0.0006535,0.0006535,0.0006535
9,7131.76,1.20711,0.70488,0.96394,0.71153,0.47503,0.52454,0.29982,1.18871,0.63945,0.94836,0.000604,0.000604,0.000604
10,7918.93,1.20062,0.69602,0.96217,0.71374,0.48185,0.5298,0.30367,1.18547,0.63513,0.94779,0.0005545,0.0005545,0.0005545
11,8693.53,1.24195,0.69985,0.96659,0.72946,0.47534,0.53011,0.30403,1.18428,0.63337,0.94744,0.000505,0.000505,0.000505
12,9467.2,1.23651,0.69236,0.96492,0.72596,0.48159,0.53306,0.30576,1.18369,0.63225,0.94709,0.0004555,0.0004555,0.0004555
13,10240.9,1.22859,0.68422,0.96214,0.72147,0.48478,0.53457,0.30677,1.18334,0.63125,0.94698,0.000406,0.000406,0.000406
14,11014.3,1.22314,0.67573,0.9595,0.71522,0.48799,0.53459,0.30772,1.1827,0.63013,0.94665,0.0003565,0.0003565,0.0003565
15,11788,1.21655,0.66735,0.9566,0.71271,0.49102,0.53516,0.30867,1.1825,0.62927,0.94631,0.000307,0.000307,0.000307
16,12561.3,1.21012,0.66117,0.95338,0.71677,0.49221,0.53778,0.30964,1.18205,0.62812,0.94579,0.0002575,0.0002575,0.0002575
17,13334.6,1.2043,0.65328,0.95216,0.7169,0.4946,0.53827,0.3103,1.18126,0.62718,0.94527,0.000208,0.000208,0.000208
18,14108,1.19792,0.64556,0.94959,0.71636,0.4953,0.53891,0.31103,1.18045,0.62621,0.94481,0.0001585,0.0001585,0.0001585
19,14881.5,1.19284,0.63936,0.94843,0.71552,0.49688,0.54049,0.31202,1.17975,0.62535,0.94439,0.000109,0.000109,0.000109
20,15654.7,1.18783,0.63315,0.94653,0.71863,0.49639,0.54146,0.31267,1.17928,0.62473,0.94404,5.95e-05,5.95e-05,5.95e-05
