epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,807.679,1.44264,0.98695,1.04735,0.42294,0.31582,0.31385,0.16164,1.38754,0.91749,1.0255,0.0670075,0.000333257,0.000333257
2,1594.69,1.41504,0.91617,1.03944,0.61101,0.37347,0.38605,0.20467,1.31187,0.80626,0.9992,0.0339416,0.000600598,0.000600598
3,2379.11,1.37078,0.86072,1.0196,0.63557,0.38989,0.41297,0.22474,1.28322,0.76259,0.98674,0.000809558,0.000801939,0.000801939
4,3158.97,1.33509,0.81722,1.00524,0.64914,0.41158,0.44568,0.24545,1.25718,0.73268,0.9762,0.000703,0.000703,0.000703
5,4514.66,1.30707,0.78297,0.99414,0.67806,0.42571,0.46814,0.25995,1.23813,0.70448,0.96901,0.000604,0.000604,0.000604
6,5321.45,1.28701,0.75653,0.98563,0.68871,0.43601,0.47895,0.26816,1.23152,0.69105,0.96513,0.000505,0.000505,0.000505
7,6097.05,1.26926,0.73489,0.97784,0.68836,0.4496,0.49003,0.27592,1.22617,0.68115,0.96156,0.000406,0.000406,0.000406
8,6872.24,1.25404,0.71608,0.97281,0.69815,0.45164,0.49868,0.28104,1.21985,0.67173,0.95977,0.000307,0.000307,0.000307
9,7647.16,1.23849,0.69739,0.96714,0.70702,0.45151,0.50335,0.28571,1.2233,0.66913,0.96065,0.000208,0.000208,0.000208
10,8421.92,1.22282,0.67917,0.96003,0.69973,0.46107,0.5063,0.28799,1.2196,0.66468,0.95815,0.000109,0.000109,0.000109
